ID	Term	Type	Preferred_form
ECK120003655	asnW	GENE	asnW
ECK120000091	aspA	GENE	aspA
ECK120000092	aspC	GENE	aspC
ECK120000093	aspS	GENE	aspS
ECK120002466	aspT	GENE	aspT
ECK120002467	aspU	GENE	aspU
ECK120002468	aspV	GENE	aspV
ECK120003444	asr	GENE	asr
ECK120003531	astA	GENE	astA
ECK120003529	astB	GENE	astB
ECK120003532	astC	GENE	astC
ECK120003530	astD	GENE	astD
ECK120003528	astE	GENE	astE
ECK120002861	atl	GENE	atl
ECK120001613	atoA	GENE	atoA
ECK120001615	atoB	GENE	atoB
ECK120001611	atoC	GENE	atoC
ECK120001612	atoD	GENE	atoD
ECK120001614	atoE	GENE	atoE
ECK120001610	atoS	GENE	atoS
ECK120000094	atpA	GENE	atpA
ECK120000095	atpB	GENE	atpB
ECK120000096	atpC	GENE	atpC
ECK120000097	atpD	GENE	atpD
ECK120000098	atpE	GENE	atpE
ECK120000099	atpF	GENE	atpF
ECK120000100	atpG	GENE	atpG
ECK120000101	atpH	GENE	atpH
ECK120000102	atpI	GENE	atpI
ECK120000103	avtA	GENE	avtA
ECK120003324	azoR	GENE	azoR
ECK120048865	azuC	GENE	azuC
ECK120002709	b0100	GENE	b0100
ECK120002710	b0105	GENE	b0105
ECK120002711	b0165	GENE	b0165
ECK120002798	b0309	GENE	b0309
ECK120002988	b0725	GENE	b0725
ECK120003149	b1052	GENE	b1052
ECK120003282	b1364	GENE	b1364
ECK120003727	b2191	GENE	b2191
ECK120003954	b2651	GENE	b2651
ECK120004238	b3254	GENE	b3254
ECK120001608	bacA	GENE	bacA
ECK120001566	baeR	GENE	baeR
ECK120001565	baeS	GENE	baeS
ECK120002713	bamA	GENE	bamA
ECK120003892	bamB	GENE	bamB
ECK120000651	bamC	GENE	bamC
ECK120003921	bamD	GENE	bamD
ECK120000941	bamE	GENE	bamE
ECK120001335	barA	GENE	barA
ECK120001563	basR	GENE	basR
ECK120001562	basS	GENE	basS
ECK120001329	bax	GENE	bax
ECK120000104	bcp	GENE	bcp
ECK120001384	bcr	GENE	bcr
ECK120002141	bcsA	GENE	bcsA
ECK120002140	bcsB	GENE	bcsB
ECK120002138	bcsC	GENE	bcsC
ECK120002144	bcsE	GENE	bcsE
ECK120002145	bcsF	GENE	bcsF
ECK120002146	bcsG	GENE	bcsG
ECK120002142	bcsQ	GENE	bcsQ
ECK120002139	bcsZ	GENE	bcsZ
ECK120004375	bdcA	GENE	bdcA
ECK120004377	bdcR	GENE	bdcR
ECK120003365	bdm	GENE	bdm
ECK120000105	betA	GENE	betA
ECK120000106	betB	GENE	betB
ECK120000107	betI	GENE	betI
ECK120000108	betT	GENE	betT
ECK120001163	bfd	GENE	bfd
ECK120000109	bfr	GENE	bfr
ECK120002697	bglA	GENE	bglA
ECK120000110	bglB	GENE	bglB
ECK120000111	bglF	GENE	bglF
ECK120000112	bglG	GENE	bglG
ECK120001333	bglH	GENE	bglH
ECK120004441	bglJ	GENE	bglJ
ECK120001932	bglX	GENE	bglX
ECK120003166	bhsA	GENE	bhsA
ECK120000113	bioA	GENE	bioA
ECK120000114	bioB	GENE	bioB
ECK120000115	bioC	GENE	bioC
ECK120000116	bioD	GENE	bioD
ECK120000117	bioF	GENE	bioF
ECK120000118	bioH	GENE	bioH
ECK120000119	birA	GENE	birA
ECK120000120	bisC	GENE	bisC
ECK120004333	blc	GENE	blc
ECK120002650	blr	GENE	blr
ECK120003198	bluF	GENE	bluF
ECK120003197	bluR	GENE	bluR
ECK120000121	bolA	GENE	bolA
ECK120002920	borD	GENE	borD
ECK120002064	brnQ	GENE	brnQ
ECK120004348	bsmA	GENE	bsmA
ECK120003036	bssR	GENE	bssR
ECK120003153	bssS	GENE	bssS
ECK120000122	btuB	GENE	btuB
ECK120000123	btuC	GENE	btuC
ECK120000124	btuD	GENE	btuD
ECK120000125	btuE	GENE	btuE
ECK120002209	btuF	GENE	btuF
ECK120000126	btuR	GENE	btuR
ECK120000127	cadA	GENE	cadA
ECK120000128	cadB	GENE	cadB
ECK120000129	cadC	GENE	cadC
ECK120001513	caiA	GENE	caiA
ECK120001512	caiB	GENE	caiB
ECK120001511	caiC	GENE	caiC
ECK120001510	caiD	GENE	caiD
ECK120002330	caiE	GENE	caiE
ECK120002708	caiF	GENE	caiF
ECK120001514	caiT	GENE	caiT
ECK120002195	can	GENE	can
ECK120000130	carA	GENE	carA
ECK120000131	carB	GENE	carB
ECK120003990	cas1	GENE	cas1
